feature,imp_mean,imp_std
deci-1,0.143,0.007
rDV_z,0.1179,0.0095
nrep,0.0191,0.0031
confi1_z,0.0089,0.0018
deci-2,0.0045,0.0007
d6,0.0039,0.0019
RT_z,0.0032,0.0016
d1,0.0016,0.0009
metad_eff,0.0016,0.0019
d5,0.0016,0.001
corr-1,0.0013,0.0004
d4,0.0012,0.001
d2,0.0008,0.0011
d3,0.0008,0.0011
is_repeat,0.0001,0.0001
deci-3,-0.0,0.0002
