subj,accuracy,auc
19,0.983,0.9799
1,0.9371,0.8476
9,0.9314,0.8767
4,0.9143,0.8054
18,0.9029,0.7222
6,0.9023,0.7981
17,0.8902,0.6253
11,0.8864,0.677
10,0.8807,0.818
12,0.8793,0.7379
8,0.8678,0.8739
21,0.8636,0.8292
25,0.8571,0.664
16,0.8497,0.6518
7,0.8448,0.7308
15,0.8448,0.7072
13,0.8409,0.7792
5,0.8343,0.7271
22,0.8057,0.7449
24,0.7989,0.6989
3,0.7943,0.788
20,0.7314,0.6603
14,0.72,0.7504
26,0.6457,0.6915
