time,auc_mean,auc_sem
-1.5,0.49414863500972933,0.006365238511205148
-1.498,0.49410220684842643,0.0063924145223291555
-1.496,0.49410547740264504,0.006433170533204141
-1.494,0.4942520508404413,0.006467994733991697
-1.492,0.49469147196847685,0.006526065117890567
-1.49,0.4951690486814396,0.006549463976300958
-1.488,0.49523091473803815,0.006591123688667792
-1.486,0.494335864152029,0.006596807868414961
-1.484,0.4930455258824974,0.006552159082953731
-1.482,0.4919880459442424,0.0063210004240613306
-1.48,0.49105665401708476,0.005971410188379615
-1.478,0.4900933579562627,0.005685146190475894
-1.476,0.4890634289906847,0.005543672193741479
-1.474,0.4878816527629495,0.005471587437057867
-1.472,0.48693948443301294,0.005396493731205497
-1.47,0.48618410476817253,0.005269773126850856
-1.468,0.4858252608308613,0.0052337472553407455
-1.466,0.4856273983322291,0.005313887982323165
-1.464,0.48598439024363393,0.005405682136398263
-1.462,0.4867705056102391,0.005543640193784913
-1.46,0.4876465255727733,0.0056245055156324926
-1.458,0.4882854879272541,0.005653086411803813
-1.456,0.48884508059870396,0.005658236700071326
-1.454,0.489480607288282,0.0056688215315248555
-1.452,0.48984754243611406,0.0055985351757477375
-1.45,0.4899862651409167,0.0054674732922898196
-1.448,0.4901548504928243,0.005364207324780494
-1.446,0.49055998882270296,0.005335340266550346
-1.444,0.49082597652074034,0.005350228387432707
-1.442,0.49086718999913254,0.005411859716820297
-1.44,0.49058159228492476,0.005542284861496534
-1.438,0.4903952514871414,0.005696339983204542
-1.436,0.4908922715279114,0.005834201652780366
-1.434,0.4915361567907566,0.005948251416575746
-1.432,0.4920621588036395,0.0059941277025756575
-1.43,0.49230165377198504,0.006043846103418288
-1.428,0.49244423934301856,0.0061510663875825105
-1.426,0.4927588439080094,0.006261323868976802
-1.424,0.49343481069964007,0.006300985814164317
-1.422,0.4940270603575586,0.006233314682964864
-1.42,0.49432345805632444,0.006156263271208631
-1.418,0.4940125443460768,0.006075631583895882
-1.416,0.4932746562049519,0.005996317214905051
-1.414,0.492232556181373,0.005870140450790095
-1.412,0.49120547796524333,0.005723645417129009
-1.41,0.4905464767782133,0.005635330127164026
-1.408,0.4901329604276141,0.005612643043045858
-1.406,0.48933992620027084,0.00556618435144351
-1.404,0.48813416109060287,0.005464013527179829
-1.402,0.48716203688570375,0.005425140088788152
-1.4,0.48671653205046433,0.005446264013086398
-1.398,0.48665409084801775,0.0054429815634015385
-1.396,0.4867050656695399,0.005339827507300317
-1.394,0.4868657077495942,0.005217395429771794
-1.392,0.4870803799548329,0.005204687046557455
-1.39,0.4876622943551384,0.005350314472861417
-1.388,0.4885546533384267,0.005540153708894149
-1.386,0.48934409611225654,0.005710151428716773
-1.384,0.4900538784980658,0.005823282692175667
-1.382,0.49043116771813516,0.005864487724497913
-1.38,0.4907630815439557,0.005783915765401622
-1.378,0.4913848976108975,0.005584193224498144
-1.376,0.4918815379589131,0.005304918658118634
-1.374,0.4921691184225814,0.005096917404957844
-1.372,0.4923808669304939,0.0049999315791640336
-1.37,0.49240210197163625,0.004964711565356767
-1.368,0.4925255839250041,0.0049362570228154
-1.366,0.49294793115547053,0.0049207876765293415
-1.364,0.49330634931963535,0.004848270262512157
-1.362,0.4936965162877203,0.00467731296182876
-1.36,0.49387491249661103,0.004512665913067759
-1.358,0.49367191785094505,0.004330240135490512
-1.356,0.49348511147655444,0.004177190930009042
-1.354,0.49371732849332317,0.004148623817384129
-1.352,0.49427027554732494,0.004174159399407974
-1.35,0.4948756514750383,0.004286936267154918
-1.348,0.4950860152351468,0.0045138318255952955
-1.346,0.4951650095806134,0.004798152493143391
-1.344,0.4952762368703438,0.005087071939290389
-1.342,0.49538090277036984,0.0052697410532928455
-1.34,0.49498626228956966,0.005411037471229154
-1.338,0.49413044455916805,0.005546731649336252
-1.336,0.4930726166576334,0.00566298135835498
-1.334,0.49225701667388344,0.0057678940239675
-1.332,0.4920016452649769,0.0058115496178052254
-1.33,0.4918763688211747,0.00577959521324904
-1.328,0.4915124862587701,0.005671014816139068
-1.326,0.49093231663680853,0.0055576284589869095
-1.324,0.49023462442320925,0.005479987440062995
-1.322,0.4898456966559873,0.005432036249253045
-1.32,0.4900338770537187,0.005395125112319193
-1.318,0.49048868691853537,0.00531936374681654
-1.316,0.4908851482967895,0.005229096158408133
-1.314,0.4913774943046658,0.005152637326305573
-1.312,0.49208930704600773,0.0050616691892213135
-1.31,0.4931295962436499,0.004979839253110583
-1.308,0.4947753178048399,0.004917894017403161
-1.306,0.49638861469023227,0.004866698904019706
-1.304,0.4974395889613713,0.004855661828834907
-1.302,0.4976666652001658,0.004903585411012179
-1.3,0.49757894146928316,0.005024749377014382
-1.298,0.49762003015584855,0.005146039325270688
-1.296,0.49757389537876257,0.005299814586185176
-1.294,0.49751115869741924,0.005505775658047591
